pmkAthleteID,fldName,fldSex,fldAge,fldHeight,fldWeight,fpkNationality,fldYear,fldCity,fpkSport,fldEvent
16614,Steven James Burke,M,28,183,78,GBR,2016,Rio de Janeiro,Cycling,"Cycling Men's Team Pursuit, 4,000 metres"
16645,Peter Burling,M,25,186,82,NZL,2016,Rio de Janeiro,Sailing,Sailing Men's Skiff
16733,Jordan Ernest Burroughs,M,24,171,79,USA,2012,London,Wrestling,"Wrestling Men's Middleweight, Freestyle"
16773,Tom Burton,M,26,180,81,AUS,2016,Rio de Janeiro,Sailing,Sailing Men's One Person Dinghy
16843,Andro Bulje,M,26,200,115,CRO,2012,London,Water Polo,Water Polo Men's Water Polo
16907,Aleksandr Anatolyevich Butko,M,26,198,97,RUS,2012,London,Volleyball,Volleyball Men's Volleyball
16923,Jimmy Butler III,M,26,201,99,USA,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball
17258,Erin Jane Cafaro (-McKenzie),F,29,175,73,USA,2012,London,Rowing,Rowing Women's Coxed Eights
17299,Cai Yun,M,32,181,68,CHN,2012,London,Badminton,Badminton Men's Doubles
17338,Asl akr (-Alptekin),F,26,168,50,TUR,2012,London,Athletics,"Athletics Women's 1,500 metres"
17489,Facundo Callioni,M,30,183,77,ARG,2016,Rio de Janeiro,Hockey,Hockey Men's Hockey
17684,Bronte Campbell,F,22,179,58,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
17687,Cate Natalie Campbell,F,20,186,67,AUS,2012,London,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
17687,Cate Natalie Campbell,F,24,186,67,AUS,2016,Rio de Janeiro,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay
17732,Luke Campbell,M,24,175,NaN,GBR,2012,London,Boxing,Boxing Men's Bantamweight
17815,Niccol Campriani,M,24,177,80,ITA,2012,London,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
17815,Niccol Campriani,M,28,177,80,ITA,2016,Rio de Janeiro,Shooting,"Shooting Men's Air Rifle, 10 metres"
17815,Niccol Campriani,M,28,177,80,ITA,2016,Rio de Janeiro,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres"
17857,Fabian Cancellara,M,35,186,81,SUI,2016,Rio de Janeiro,Cycling,Cycling Men's Individual Time Trial
18005,Cao Yuan,M,17,160,42,CHN,2012,London,Diving,Diving Men's Synchronized Platform
18005,Cao Yuan,M,21,160,42,CHN,2016,Rio de Janeiro,Diving,Diving Men's Springboard
18500,Cecilia Carranza Saroli,F,29,164,63,ARG,2016,Rio de Janeiro,Sailing,Sailing Mixed Multihull
18563,Lisa Carrington,F,23,168,63,NZL,2012,London,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
18563,Lisa Carrington,F,27,168,63,NZL,2016,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Singles, 200 metres"
18653,Michelle Denee Carter,F,30,176,136,USA,2016,Rio de Janeiro,Athletics,Athletics Women's Shot Put
18656,Nesta Carter,M,26,178,70,JAM,2012,London,Athletics,Athletics Men's 4 x 100 metres Relay
18811,Swintayla Marie Swin Cash,F,32,185,74,USA,2012,London,Basketball,Basketball Women's Basketball
18827,Charlotte Caslick,F,21,172,65,AUS,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Women's Rugby Sevens
18840,Andrea Cassar,M,28,193,93,ITA,2012,London,Fencing,"Fencing Men's Foil, Team"
19044,Tamika Devonne Catchings,F,33,185,77,USA,2012,London,Basketball,Basketball Women's Basketball
19044,Tamika Devonne Catchings,F,37,185,77,USA,2016,Rio de Janeiro,Basketball,Basketball Women's Basketball
